,drug_id,name,type,class,moa,description,quesion,option_A,option_B,option_C,option_D,option_E,answers
0,DB00039,Palifermin,biotech,Organic Acids,ligand | agonist | binder,"Palifermin is a recombinant human keratinocyte growth factor (KGF). It is 140 residues long, and is produced using E. coli.

Palifermin was granted FDA approval on 15 December 2004.[L17933]",What is the mechanism of action of Palifermin?,It acts as an anti-inflammatory agent,It is an antibiotic that kills bacteria,It promotes cell proliferation and acts as a cell growth and survival factor,It regulates blood sugar levels,It suppresses the immune system,C
1,DB00039,Palifermin,biotech,Organic Acids,ligand | agonist | binder,"Palifermin is a recombinant human keratinocyte growth factor (KGF). It is 140 residues long, and is produced using E. coli.

Palifermin was granted FDA approval on 15 December 2004.[L17933]",How is Palifermin administered?,Orally,Intravenously,Topically,Intramuscularly,Subcutaneously,B
2,DB00039,Palifermin,biotech,Organic Acids,ligand | agonist | binder,"Palifermin is a recombinant human keratinocyte growth factor (KGF). It is 140 residues long, and is produced using E. coli.

Palifermin was granted FDA approval on 15 December 2004.[L17933]",What is the elimination half-life of Palifermin?,1-2 hours,2.5-3.5 hours,3.3-5.7 hours,6-8 hours,12-24 hours,C
3,DB00039,Palifermin,biotech,Organic Acids,ligand | agonist | binder,"Palifermin is a recombinant human keratinocyte growth factor (KGF). It is 140 residues long, and is produced using E. coli.

Palifermin was granted FDA approval on 15 December 2004.[L17933]",Which of the following is NOT a form of Palifermin available on the market?,Injection,"Injection, powder, for solution","Injection, powder, lyophilized, for solution",Tablet,"Powder, for solution",D
4,DB00061,Pegademase,biotech,Organic Acids,binder | metabolizer,Bovine adenosine deaminase derived from bovine intestine that has been extensively pegylated for extended serum half life.,What is the mechanism of action of Pegademase?,Blocks calcium channels,Converts adenosine to inosine,Inhibits protein synthesis,Promotes insulin release,Reduces inflammation,B
5,DB00061,Pegademase,biotech,Organic Acids,binder | metabolizer,Bovine adenosine deaminase derived from bovine intestine that has been extensively pegylated for extended serum half life.,What is the time to peak plasma concentration for Pegademase?,1 to 2 days,2 to 3 days,3 to 4 days,4 to 5 days,5 to 6 days,B
6,DB00061,Pegademase,biotech,Organic Acids,binder | metabolizer,Bovine adenosine deaminase derived from bovine intestine that has been extensively pegylated for extended serum half life.,Which of the following is a product name for Pegademase?,Adagen,PegIntron,ViraferonPeg,Neulasta,Kineret,A
7,DB00061,Pegademase,biotech,Organic Acids,binder | metabolizer,Bovine adenosine deaminase derived from bovine intestine that has been extensively pegylated for extended serum half life.,What is the elimination half-life of plasma adenosine deaminase when treated with Pegademase?,1 to 2 days,2 to 3 days,3 to >6 days,7 to 8 days,9 to 10 days,C
8,DB00162,Vitamin A,small molecule,Lipids and lipid-like molecules,ligand | substrate,"Retinol and derivatives of retinol that play an essential role in metabolic functioning of the retina, the growth of and differentiation of epithelial tissue, the growth of bone, reproduction, and the immune response. Dietary vitamin A is derived from a variety of carotenoids found in plants. It is enriched in the liver, egg yolks, and the fat component of dairy products.",Which of the following is a known effect of Vitamin A toxicity?,Increased blood pressure,Skin peeling,Reduced cholesterol levels,Improved vision at night,Weight loss,B
9,DB00162,Vitamin A,small molecule,Lipids and lipid-like molecules,ligand | substrate,"Retinol and derivatives of retinol that play an essential role in metabolic functioning of the retina, the growth of and differentiation of epithelial tissue, the growth of bone, reproduction, and the immune response. Dietary vitamin A is derived from a variety of carotenoids found in plants. It is enriched in the liver, egg yolks, and the fat component of dairy products.",What is the primary role of Vitamin A in vision?,It increases the diameter of the pupil,It reduces the refractive power of the lens,It is converted in the retina to aid in the transduction of light into neural signals,It increases the fluid pressure in the eyes,It decreases the thickness of the cornea,C
10,DB00162,Vitamin A,small molecule,Lipids and lipid-like molecules,ligand | substrate,"Retinol and derivatives of retinol that play an essential role in metabolic functioning of the retina, the growth of and differentiation of epithelial tissue, the growth of bone, reproduction, and the immune response. Dietary vitamin A is derived from a variety of carotenoids found in plants. It is enriched in the liver, egg yolks, and the fat component of dairy products.",Which of the following is NOT a form of Vitamin A listed in the provided information?,Vitamin A acetate,Vitamin A palmitate,Vitamin A sulfate,all-trans-retinol,Retinol,C
11,DB00162,Vitamin A,small molecule,Lipids and lipid-like molecules,ligand | substrate,"Retinol and derivatives of retinol that play an essential role in metabolic functioning of the retina, the growth of and differentiation of epithelial tissue, the growth of bone, reproduction, and the immune response. Dietary vitamin A is derived from a variety of carotenoids found in plants. It is enriched in the liver, egg yolks, and the fat component of dairy products.",How is Vitamin A metabolized according to the provided information?,Renal excretion as unchanged drug,Hepatic metabolism and enterohepatic circulation,Direct excretion through the lungs,Rapid plasma clearance without metabolism,None of the above,B
12,DB00222,Glimepiride,small molecule,Benzenoids,inducer | inhibitor,"First introduced in 1995, glimepiride is a member of the second-generation sulfonylurea (SU) drug class used for the management of type 2 diabetes mellitus (T2DM) to improve glycemic control. Type 2 diabetes is a metabolic disorder with increasing prevalences worldwide; it is characterized by insulin resistance in accordance with progressive β cell failure and long-term microvascular and macrovascular complications that lead to co-morbidities and mortalities. Sulfonylureas are one of the insulin secretagogues widely used for the management of type 2 diabetes to lower blood glucose levels. The main effect of SUs is thought to be effective when residual pancreatic β-cells are present,[A177715] as they work by stimulating the release of insulin from the pancreatic beta cells and they are also thought to exert extra-pancreatic effects, such as increasing the insulin-mediated peripheral glucose uptake.[A177709] 

Glimepiride works by stimulating the secretion of insulin granules from pancreatic islet beta cells by blocking ATP-sensitive potassium channels (K<SUB>ATP</SUB> channels) and causing depolarization of the beta cells. Compared to [glipizide], another second SU drug, glimepiride has a longer duration of action. It is sometimes classified as a third-generation SU because it has larger substitutions than other second-generation SUs.[A177703] Compared to other SUs, glimepiride was associated with a lower risk of developing hypoglycemia and weight gain in clinical trials [A177709] as well as fewer cardiovascular effects than other SUs due to minimal effects on ischemic preconditioning of cardiac myocytes.[A177703] It is effective in reducing fasting plasma glucose, postprandial glucose, and glycosylated hemoglobin levels and is considered to be a useful, cost-effective treatment option for managing type 2 diabetes mellitus.[A177703] Glimepiride was approved by the Food and Drug Administration (FDA) in the United States in 1995 for the treatment of T2DM. It is commonly marketed under the brand name Amaryl as oral tablets and is typically administered once daily.",Which of the following best describes the mechanism of action of Glimepiride?,Inhibits alpha-glucosidase in the intestine,Increases insulin sensitivity in peripheral tissues,Blocks ATP-sensitive potassium channels in pancreatic beta cells,Stimulates glucagon release from pancreatic alpha cells,Decreases glucose absorption in the gut,C
13,DB00222,Glimepiride,small molecule,Benzenoids,inducer | inhibitor,"First introduced in 1995, glimepiride is a member of the second-generation sulfonylurea (SU) drug class used for the management of type 2 diabetes mellitus (T2DM) to improve glycemic control. Type 2 diabetes is a metabolic disorder with increasing prevalences worldwide; it is characterized by insulin resistance in accordance with progressive β cell failure and long-term microvascular and macrovascular complications that lead to co-morbidities and mortalities. Sulfonylureas are one of the insulin secretagogues widely used for the management of type 2 diabetes to lower blood glucose levels. The main effect of SUs is thought to be effective when residual pancreatic β-cells are present,[A177715] as they work by stimulating the release of insulin from the pancreatic beta cells and they are also thought to exert extra-pancreatic effects, such as increasing the insulin-mediated peripheral glucose uptake.[A177709] 

Glimepiride works by stimulating the secretion of insulin granules from pancreatic islet beta cells by blocking ATP-sensitive potassium channels (K<SUB>ATP</SUB> channels) and causing depolarization of the beta cells. Compared to [glipizide], another second SU drug, glimepiride has a longer duration of action. It is sometimes classified as a third-generation SU because it has larger substitutions than other second-generation SUs.[A177703] Compared to other SUs, glimepiride was associated with a lower risk of developing hypoglycemia and weight gain in clinical trials [A177709] as well as fewer cardiovascular effects than other SUs due to minimal effects on ischemic preconditioning of cardiac myocytes.[A177703] It is effective in reducing fasting plasma glucose, postprandial glucose, and glycosylated hemoglobin levels and is considered to be a useful, cost-effective treatment option for managing type 2 diabetes mellitus.[A177703] Glimepiride was approved by the Food and Drug Administration (FDA) in the United States in 1995 for the treatment of T2DM. It is commonly marketed under the brand name Amaryl as oral tablets and is typically administered once daily.",What is a noted advantage of Glimepiride compared to other sulfonylureas?,Higher risk of weight gain,Longer duration of action,Higher risk of hypoglycemia,Increased cardiovascular effects,None of the above,B
