question,answer
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with abatacept?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with adalimumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with aldesleukin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with alefacept?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with alemtuzumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with altretamine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with amsacrine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with anakinra?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with anifrolumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with antilymphocyte immunoglobulin (horse)?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with antithymocyte immunoglobulin (rabbit)?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with apremilast?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with arsenic trioxide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with avacopan?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with azacitidine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with azathioprine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with baricitinib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with basiliximab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with beclomethasone dipropionate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with belatacept?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with belimumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with belinostat?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with belumosudil?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bendamustine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with betamethasone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bexarotene?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bimekizumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bleomycin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with blinatumomab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bortezomib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with bosutinib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with brentuximab vedotin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with brodalumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with budesonide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with busulfan?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cabazitaxel?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with canakinumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with capecitabine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with carbamazepine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with carboplatin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with carfilzomib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with carmustine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with certolizumab pegol?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with chlorambucil?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with chloramphenicol?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with ciclesonide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cisplatin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cladribine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with clobetasol propionate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with clofarabine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with corticotropin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cortisone acetate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cyclophosphamide?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with cyclosporine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dacarbazine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dactinomycin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dasatinib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with daunorubicin?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with decitabine?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with deflazacort?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with denosumab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with desoximetasone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with deucravacitinib?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dexamethasone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dexrazoxane?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with difluocortolone?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dimethyl fumarate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with dinutuximab?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with diroximel fumarate?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with docetaxel?,yes
Does the therapeutic efficacy of Moderna COVID-19 Vaccine decrease when used in combination with doxorubicin?,yes
